,Author,Year,Journal,Title,Abstract,DOI,exclude_duplicate_study,Link,Extracted by,Included,Reason for exclusion,Animal model,Species,Strain,Sex,Age,Tested drug(s),Comparator,Outcome,Total number of animals,Treatment regimen,EAE_1_drug_mean,EAE_1_drug_n,EAE_1_drug_var,EAE_1_con_mean,EAE_1_con_n,EAE_1_con_var,EAE_1_data_type,MRI_1_drug_mean,MRI_1_drug_n,MRI_1_drug_var,MRI_1_con_mean,MRI_1_con_n,MRI_1_con_var,MRI_1_data_type,MRI Outcome...36,Comment,Tested drug 2,Outcome drug 2,Treatment regimen drug 2...67,EAE_2_drug_mean,EAE_2_drug_n,EAE_2_drug_var,EAE_2_con_mean,EAE_2_con_n,EAE_2_con_var,EAE_2_data_type,...75,Tested drug 3,Treatment regimen drug 2...77,EAE_3_drug_mean,EAE_3_drug_n,EAE_3_drug_var,EAE_3_con_mean,EAE_3_con_n,EAE_3_con_var,EAE_3_data_type,...85,MRI_2_drug_mean,MRI_2_drug_n,MRI_2_drug_var,MRI_2_con_mean,MRI_2_con_n,MRI_2_con_var,MRI_2_data_type,MRI Outcome...93,...94,MRI_3_drug_mean,MRI_3_drug_n,MRI_3_drug_var,MRI_3_con_mean,MRI_3_con_n,MRI_3_con_var,MRI_3_data_type,MRI Outcome...102,MRI_4_drug_mean,MRI_4_drug_n,MRI_4_drug_var,MRI_4_con_mean,MRI_4_con_n,MRI_4_con_var,MRI_4_data_type,MRI Outcome...110,Species_in_study,status,status2
410,"Sun, J. and Zhou, H. and Bai, F. and Ren, Q. and Zhang, Z.",2016,Oncotarget,Myelin injury induces axonal transport impairment but not AD-like pathology in the hippocampus of cuprizone-fed mice,"Both multiple sclerosis (MS) and Alzheimer's disease (AD) are progressive neurological disorders with myelin injury and memory impairment. However, whether myelin impairment could cause AD-like neurological pathology remains unclear. To explore neurological pathology following myelin injury, we assessed cognitive function, the expression of myelin proteins, axonal transport-associated proteins, axonal structural proteins, synapse-associated proteins, tau and beta amyloid and the status of neurons, using the cuprizone mouse model of demyelination. We found the mild impairment of learning ability in cuprizone-fed mice and the decreased expression of myelin basic protein (MBP) in the hippocampus. And anti-LINGO-1 improved learning ability and partly restored MBP level. Furthermore, we also found kinesin light chain (KLC), neurofilament light chain (NFL) and neurofilament heavy chain (NF200) were declined in demyelinated hippocampus, which could be partly improved by treatment with anti-LINGO-1. However, we did not observe the increased expression of beta amyloid, hyperphosphorylation of tau and loss of neurons in demyelinated hippocampus. Our results suggest that demyelination might lead to the impairment of neuronal transport, but not cause increased level of hyperphosphorylated tau and beta amyloid. Our research demonstrates remyelination might be an effective pathway to recover the function of neuronal axons and cognition in MS.",10.18632/oncotarget.8981,no,NA,PH,1,NA,cuprizone,mouse,C57BL/6,male,8,Opicinumab,control,3,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Failed,NA
411,"Sun, Q. and Zheng, Y. and Zhang, X. and Hu, X. and Wang, Y. and Zhang, S. and Zhang, D. and Nie, H.",2013,Front Biosci (Landmark Ed),Novel immunoregulatory properties of EGCG on reducing inflammation in EAE,"EGCG is one of the major catechins in green tea. In this study, we investigated the novel regulatory mechanism of EGCG on amelioration of experimental autoimmune encephalomyelitis (EAE). The data showed that EGCG reduced disease severity in EAE by decreasing brain inflammation and demyelination damage, accompanied by decreased encephalitogenic T cell responses and reduced expression of inflammatory cytokines and chemokines. The effect of EGCG was attributable to its selective inhibition of interferon-gamma and interleukin-17 production in CD4+<c2><a0>T cells, mediated via alteration of the STAT pathway and the transcription factors T-bet and retinoid-related orphan receptor (ROR) gammat/ROR alpha. More important, EGCG has been found novel properties of directly inhibiting Th1 and Th17 cell differentiation in this study. On the other hand, EGCG-treated antigen presenting cells (APC) exhibited reduced co-stimulatory function as a result of altered expression of CD80 and CD86. The results of this study indicate that EGCG is a novel anti-inflammatory agent that could act as a useful drug for the treatment of multiple sclerosis and other neuroinflammatory diseases in the further.",10.2741/4104,no,NA,PH,1,NA,EAE,mouse,C57BL/6,male,7,Epigallocatechin gallate,control,1,NA,2,2.5,10,0.2,3,10,0.1,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,"probably SEM, in all other figures SEM was used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Failed,NA
412,"Sweeney, C. M. and Lonergan, R. and Basdeo, S. A. and Kinsella, K. and Dungan, L. S. and Higgins, S. C. and Kelly, P. J. and Costelloe, L. and Tubridy, N. and Mills, K. H. G. and Fletcher, J. M.",2011,"Brain, Behavior, and Immunity",IL-27 mediates the response to IFN-Î² therapy in multiple sclerosis patients by inhibiting Th17 cells,"Interferon (IFN)-<ce><b2> is a commonly used therapy for relapsing remitting multiple sclerosis (RRMS). However its protective mechanism is still unclear and the failure of many patients to respond has not been explained. We have found that IFN-<ce><b2> suppressed IL-23 and IL-1<ce><b2> production and increased IL-10 production by human dendritic cells (DC) activated with the TLR2 and dectin-1 agonist zymosan. Furthermore, IFN-<ce><b2> impaired the ability of DC to promote IL-17 production by CD4+ T cells, but did not affect IFN-<ce><b3> production. IFN-<ce><b2> induced IL-27 expression by DC, and neutralisation of IL-27 abrogated the suppressive effects of IFN-<ce><b2> on zymosan-induced IL-1 and IL-23 production and the generation of Th17 cells in vitro. Complementary in vivo studies in a mouse model showed that treatment with IFN-<ce><b2> enhanced expression of IL-27, and reduced IL-17 in the CNS and periphery and attenuated the clinical signs of experimental autoimmune encephalomyelitis (EAE). In addition, the significant suppressive effect of IFN-<ce><b2> on the ability of DC to promote Th17 cells was lost in cells from IL-27 receptor deficient mice. Finally, we showed that PBMC from non-responder RRMS patients produced significantly less IL-27 in response to IFN-<ce><b2> than patients who responded to IFN-<ce><b2> therapy. Our findings suggest that IFN-<ce><b2> mediates its therapeutic effects in MS at least in part via the induction of IL-27, and that IL-27 may represent an alternative therapy for MS patients that do not respond to IFN-<ce><b2>. <c2><a9> 2011 Elsevier Inc.",10.1016/j.bbi.2011.03.007,no,NA,PH,1,NA,EAE,mouse,C57BL/6,NA,7,Interferon Beta 1,control,1,NA,2,1.8,7.5,0.1,2.4,7.5,0.5,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
413,"Tacke, S. and Chunder, R. and Schropp, V. and Urich, E. and Kuerten, S.",2022,Int J Mol Sci,Effects of a Fully Humanized Type II Anti-CD20 Monoclonal Antibody on Peripheral and CNS B Cells in a Transgenic Mouse Model of Multiple Sclerosis,"Successful therapy with anti-CD20 monoclonal antibodies (mAbs) has reinforced the key role of B cells in the immunopathology of multiple sclerosis (MS). This study aimed to determine the effects of a novel class of anti-CD20 mAbs on vascular and extravascular central nervous system (CNS)-infiltrating B cells in experimental autoimmune encephalomyelitis (EAE), an animal model of MS. Male hCD20xhIgR3 mice and wild-type C57BL/6 (B6) mice were immunized with human myelin oligodendrocyte glycoprotein (MOG)(1-125) to induce EAE. While hCD20xhIgR3 mice were injected intravenously with an anti-human CD20 mAb (5 mg/kg) (rituximab (a type I anti-CD20 mAb) or obinutuzumab (a type II anti-CD20 mAb), B6 mice received the anti-mouse CD20 antibody 18B12. Neither mAb affected clinical disease or serum antibody levels. Obinutuzumab and rituximab had an impact on splenic and CNS-infiltrated B cells with slightly differential depletion efficacy. Additionally, obinutuzumab had beneficial effects on spinal cord myelination. B cell depletion rates in the 18B12/B6 model were comparable with those observed in obinutuzumab-treated hCD20xhIgR3 mice. Our results demonstrate the usefulness of anti-CD20 mAbs for the modulation of B cell-driven peripheral immune response and CNS pathology, with type II antibodies potentially being superior to type I in the depletion of tissue-infiltrating B cells.",10.3390/ijms23063172,no,NA,PH,1,NA,EAE,mouse,hCD20xhIgR3,male,15,Rituximab,control,1,NA,2,2.6,5.5,0.3,2.9,5.5,0.3,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,"control=chlgG1 (isotype control ab); dbtg (there data was used here) mice expressed both human and mouse CD20 on their B cells, in addition to an Ig mini-repertoire composed of the secreted forms of H-1, IgL-, and IgL-chains; WT mice received mouse-anti-CD20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
414,"Taghizadeh, S. and Motallebnezhad, M. and Aghaie, T. and Azimi, M. and Aghamajidi, A. and Salari, A. A. and Bozorgmehr, M. and Assarezadegan, M. A. and Jazayeri, M. H.",2022,Metab Brain Dis,Anti-Caspr-conjugated gold nanoparticles emergence as a novel approach in the treatment of EAE animal model,"Multiple sclerosis (MS) is a chronic autoimmune disorder of central nervous system which is increasing worldwide. Although immunosuppressive agents are used for the treatment of MS disease, nevertheless the lack of non-toxic and efficient therapeutic method is perceptible. Hence, this study aims to evaluate the effect of Contactin-associated protein (Caspr) antibody-, poly ethylene glycol (PEG)- and exosome combined gold nanoparticles (GNPs) in comparison to Glatiramer acetate as a selective treatment of MS disease in the experimental autoimmune encephalomyelitis (EAE) mouse model. EAE was induced in female C57BL/6 mice and 25-day treatment with anti-Caspr-, PEG- and exosome combined GNPs was evaluated. Histopathological examination of spinal cord, regulatory T cells as well as inflammatory pathway including IFN-<c9><a3> and IL-17 and mir-326 were investigated. The results showed the severity of MS symptoms was significantly decreased in all treated groups. Histological examination of the spinal cord indicated the reduced demyelination and immune cell infiltration. Besides, regulatory T cells were significantly increased following all treatments. Remarkably, the cytokine levels of IFN-<c9><a3> and IL-17 as well as mir-326 is altered in treated groups. Taken together, the obtained findings demonstrate that the administration of anti-Caspr-, PEG- and exosome combined GNPs can be considered a potential treatment in MS disease.",10.1007/s11011-022-00981-y,no,NA,PH,1,NA,EAE,mouse,C57BL/6,female,10,Glatiramer acetate,control,1,36,1,0.2,6,NA,3.7,6,NA,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
415,"Tanaka, T. and Murakami, K. and Bando, Y. and Yoshida, S.",2013,J Neurochem,Minocycline reduces remyelination by suppressing ciliary neurotrophic factor expression after cuprizone-induced demyelination,"Remyelination is disrupted in demyelinating diseases such as multiple sclerosis, but the underlying pathogenetic mechanisms are unclear. In this study, we employed the murine cuprizone model of demyelination, in which remyelination occurs after removal of the toxin from the diet, to examine the cellular and molecular changes during demyelination and remyelination. Microglia accumulated in the corpus callosum during weeks 2-4 of the cuprizone diet, and these cells remained activated 2 weeks after the change to the normal diet. To examine the role of microglia in remyelination, mice were treated with minocycline to inactivate these cells after cuprizone-induced demyelination. Minocycline treatment reduced the number of CC1-positive oligodendrocytes, as well as levels of myelin basic protein (MBP) and CNPase in the remyelination phase. The expression of CNTF mRNA in the corpus callosum increased after 4 weeks on the cuprizone diet and remained high 2 weeks after the change to the normal diet. Minocycline suppressed CNTF expression during the remyelination phase on the normal diet. Primary culture experiments showed that CNTF was produced by microglia in addition to astrocytes. In vitro, CNTF directly affected the differentiation of oligodendrocytic cells. These findings suggest that minocycline reduces remyelination by suppressing CNTF expression by microglia after cuprizone-induced demyelination.",10.1111/jnc.12289,no,NA,PH,1,NA,cuprizone,mouse,C57BL/6,female,9,Minocycline,control,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,received treatment from the first day of normal feeding after cupriozone feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Failed,NA
416,"Tarbali, S. and Khezri, S.",2016,Iranian Journal of Basic Medical Sciences,Vitamin D3 attenuates oxidative stress and cognitive deficits in a model of toxic demyelination,"Objective(s): Multiple sclerosis (MS) is a demyelinating disease. The prevalence of MS is highest where environmental supplies of vitamin D are low. Cognitive deficits have been observed in patients with MS. Oxidative damage may contribute to the formation of MS lesions. Considering the involvement of hippocampus in MS, an attempt is made in this study to investigate the effects of vitamin D3 on behavioral process and the oxidative status in the dorsal hippocampus (CA1 area) following the induction of experimental demyelination in rats. Materials and Methods: Animals were divided into six groups. Control group: animals received no surgery and treatment; saline group: animals received normal saline; sham group: animals received 150 <ce><bc>l sesame oil IP; vitamin D3 group: animals received 5 <ce><bc>g/kg vitamin D3 IP; lysophosphatidyl choline (LPC) group (toxic demyelination<e2><80><99>s model): animals received LPC by stereotaxic intrahippocampal injection of 2 <ce><bc>l LPC in CA1 area; Vitamin D3-treated group: animals were treated with vitamin D3 at doses of 5 <ce><bc>g/kg IP for 7 and 21 days post lesion. The spatial memory, biochemical parameters including catalase (CAT) activities and lipid peroxidation levels were investigated. Results: Animals in LPC group had more deficits in spatial memory than the control group in radial arm maze. Vitamin D3 significantly improved spatial memory compared to LPC group. Also, results indicated that vitamin D3 caused a decrease in lipid peroxidation levels and an increase in CAT activities. Conclusion: Current findings suggest that vitamin D3 may have a protective effect on cognitive deficits and oxidative stress in toxic demyelination<e2><80><99>s model.",NA,no,NA,PH,1,NA,lysolecithin,rat,Wistar,male,NA,Vitamin D3,control,1,42,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age=adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rat,Failed,NA
417,"Tarbali, S. and Khezri, S.",2015,Journal of Neurological Sciences,Protective effects of vitamin D3 on anxiety-like behavior and the total antioxidant power following the local injection of lysophosphatidylcholine in the adult rat dorsal hippocampus,"Background: Studies have reported levels of anxiety in multiple sclerosis (MS) patients. Considering the involvement of hippocampus in anxiety, an attempt is made in this study to investigate the effects of vitamin D3 on anxiety-related behavior and total antioxidant power in the dorsal hippocampus (CA1 area) following the induction of demyelination by lysophosphatidylcholine (LPC). Methods: Animals were divided into four groups; each group contained eight animals. Control group: animals received 2 <ce><bc>l saline in CA1 area; sham group: animals received 150 <ce><bc>l sesame oil intraperitoneally; LPC group: animals received LPC by stereotaxic intrahippocampal injection of 2<ce><bc>l LPC in CA1 area; Vitamin D3- treated group: animals were treated with vitamin D3 at doses of 5<ce><bc>g/kg intraperitoneally for 7, 14 and 21 days after receiving LPC. Elevated plus maze (EPM) was used for testing the anxiety. The ferric reducing ability of plasma (FRAP) assay is chosen to assess the free radical scavenging power of vitamin D3. Results: Bilateral injection of LPC caused demyelination and induced an anxiogenic-like effect which led to a reduction in the open arm time percentage (OAT%) and open arm entries percentage (OAE%). Vitamin D3 administration increased the OAT% and OAE% without effects on locomotor activity compared to LPC-treated rats. Also, our results indicate that the vitamin D3 administration caused an increase in the total antioxidant power. Conclusion: It can be concluded that the vitamin D3 administration can produce clear anxiolytic effects through its positive effects on the total antioxidant power.",NA,no,NA,PH,1,NA,lysolecithin,rat,Wistar,male,NA,Vitamin D3,control,1,32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rat,Failed,NA
418,"Teitelbaum, D. and Aharoni, R. and Klinger, E. and Kreitman, R. and Raymond, E. and Malley, A. and Shofti, R. and Sela, M. and Arnon, R.",2004,Ann N Y Acad Sci,Oral glatiramer acetate in experimental autoimmune encephalomyelitis: clinical and immunological studies,"Glatiramer acetate (GA, Copaxone, copolymer 1) for injection is an approved drug for relapsing-remitting multiple sclerosis. The clinical and immunological effects of GA were extensively studied in experimental autoimmune encephalomyelitis (EAE), the experimental animal model for MS. The effect of oral administration of GA was tested in both rodents and primates in acute as well as in chronic relapsing (CR) models of EAE. Oral GA was found to suppress acute EAE induced in rats, mice, and rhesus monkeys. The effect of GA was also tested in several models of CR-EAE: proteolipid protein and myelin oligodendrocyte glycoprotein induced CR-EAE in mice, CR-EAE in Biozzi mice, and CR-EAE in cynomolgus monkeys. In all the murine models, oral treatment with GA initiated at the peak of first relapse reduced the severity of disease and suppressed further relapses. Suppression of EAE with oral GA was associated with marked inhibition of spleen cell proliferation and Th1 cytokine (IL-2 and IFN-gamma) response to the respective autoantigens. GA-specific T cell lines of the Th2/3 type that inhibit EAE induction in vivo, similarly to those induced by injection of GA, could be isolated from spleens of GA-fed mice and rats. Furthermore, as demonstrated previously for GA-specific cells induced by the parenteral route, the orally induced GA-specific cells accumulate in the CNS and secrete in situ Th2 cytokines in response to both GA and MBP as well as brain-derived neurotrophic factor (BDNF). Although a clinical trial in MS with two doses of oral GA in enteric-coated tablets did not show a significant effect either at the clinical or immunological level, the results presented here suggest that oral GA may still be developed into a therapeutic modality in MS.",10.1196/annals.1309.055,no,NA,PH,1,NA,EAE,mouse,"Biozzi, rhesus",NA,NA,Glatiramer acetate,control,1,NA,2,0.4,NA,NA,2.4,NA,NA,mean,NA,NA,NA,NA,NA,NA,NA,NA,"EAE score for mice, Data for monkey also available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mouse, monkey",Marketed,NA
419,"Teitelbaum, D. and Arnon, R. and Sela, M.",1999,Proc Natl Acad Sci U S A,Immunomodulation of experimental autoimmune encephalomyelitis by oral administration of copolymer 1,"The activity of copolymer 1 (Cop 1, Copaxone, glatiramer acetate) in suppressing experimental autoimmune encephalomyelitis (EAE) and in the treatment of multiple sclerosis patients when injected parenterally has been extensively demonstrated. In the present study we addressed the question of whether Cop 1 can induce oral tolerance to EAE similar to myelin basic protein (MBP). We now have demonstrated that oral Cop 1 inhibited EAE induction in both rats and mice. Furthermore, oral Cop 1 was more effective than oral MBP in suppressing EAE in rats. The beneficial effect of oral Cop 1 was found to be associated with specific inhibition of the proliferative and Th1 cytokine secretion responses to MBP of spleen cells from Cop 1-fed mice and rats. In all of these assays, oral Cop 1 was more effective than oral MBP. The tolerance induced by Cop 1 could be adoptively transferred with spleen cells from Cop 1-fed animals. Furthermore, Cop 1-specific T cell lines, which inhibit EAE induction in vivo, could be isolated from the above spleen cells. These T cell lines secrete the anti-inflammatory cytokines IL-10 and transforming growth factor type beta, but not IL-4, in response to both Cop 1 and MBP. In conclusion, oral Cop 1 has a beneficial effect on the development of EAE that is associated with down-regulation of T cell immune responses to MBP and is mediated by Th2/3 type regulatory cells. These results suggest that oral administration of Cop 1 may modulate multiple sclerosis as well.",10.1073/pnas.96.7.3842,no,NA,PH,1,NA,EAE,mouse,(SJLxBALB/c)F1,female,9,Glatiramer acetate,control,1,NA,"0,1",1.1,10,NA,2,10,NA,mean,NA,NA,NA,NA,NA,NA,NA,NA,Data is from pre-inductive regimen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
420,"Teitelbaum, D. and Brenner, T. and Abramsky, O. and Aharoni, R. and Sela, M. and Arnon, R.",2003,Mult Scler,Antibodies to glatiramer acetate do not interfere with its biological functions and therapeutic efficacy,"Glatiramer acetate (GA) previously known as Copolymer 1 (Cop 1), a synthetic amino acid copolymer, suppresses experimental autoimmune encephalomyelitis (EAE) and shows a beneficial effect in relapsing-remitting type of multiple sclerosis (MS). GA acts as a specific immunomodulator by binding to MHC Class II molecules, inducing specific T suppressor (Ts) cells and interfering with T cell responses to myelin antigens. MS patients treated with GA developed GA reactive antibodies, which peaked at three months and decreased at six months. In order to find out whether anti-GA antibodies may neutralize the therapeutic effect of GA, we tested both polyclonal (mouse and human) and monoclonal GA specific antibodies for their ability to interfere with the biological activity of GA in several assay systems. None of the antibodies interfered with GA activities either in vitro (binding to MHC molecules and T cell stimulation) or in vivo (blocking of EAE). Furthermore, 53 samples of sera obtained from 34 MS patients that participated in the open label trial in Israel, and all developed GA specific antibodies, were tested for their ability to inhibit the proliferation response of GA specific Ts cell clone and to interfere with GA competitive inhibition of the response to peptide 84-102 of myelin basic protein (MBP). None of the sera inhibited and some even enhanced the in vitro activities of GA. Furthermore, representative MS sera with high titer of GA reactive antibodies did not neutralize the biological activities of GA and did not inhibit Th2 cytokine secretion by human GA specific clone. These results are consistent with the findings that the therapeutic effect of GA is not affected by GA reactive antibodies and is sustained upon long term treatment.",10.1191/1352458503ms963oa,no,NA,PH,1,NA,EAE,mouse,(SJLxBALB/c)F1,female,9.5,Glatiramer acetate,control,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
421,"Tiwari-Woodruff, S. and Morales, L. B. J. and Lee, R. and Voskuhl, R. R.",2007,Proceedings of the National Academy of Sciences of the United States of America,Differential neuroprotective and antiinflammatory effects of estrogen receptor (ER)Î± and ERÎ² ligand treatment,"Treatment with either estradiol or an estrogen receptor (ER)<ce><b1> ligand has been shown to be both antiinflammatory and neuroprotective in a variety of neurological disease models, but whether neuroprotective effects could be observed in the absence of an antiinflammatory effect has remained unknown. Here, we have contrasted effects of treatment with an ER<ce><b1> vs. an ER<ce><b2> ligand in experimental autoimmune encephalomyelitis, the multiple sclerosis model with a known pathogenic role for both inflammation and neurodegeneration. Clinically, ER<ce><b1> ligand treatment abrogated disease at the onset and throughout the disease course. In contrast, ER<ce><b2> ligand treatment had no effect at disease onset but promoted recovery during the chronic phase of the disease. ER<ce><b1> ligand treatment was antiinflammatory in the systemic immune system, whereas ER<ce><b2> ligand treatment was not. Also, ER<ce><b1> ligand treatment reduced CNS inflammation, whereas ER<ce><b2> ligand treatment did not. Interestingly, treatment with either the ER<ce><b1> or the ER<ce><b2> ligand was neuroprotective, as evidenced by reduced demyelination and preservation of axon numbers in white matter, as well as decreased neuronal abnormalities in gray matter. Thus, by using the ER<ce><b2> selective ligand, we have dissociated the antiinflammatory effect from the neuroprotective effect of estrogen treatment and have shown that neuroprotective effects of estrogen treatment do not necessarily depend on antiinflammatory properties. Together, these findings suggest that ER<ce><b2> ligand treatment should be explored as a potential neuroprotective strategy in multiple sclerosis and other neurodegenerative diseases, particularly because estrogen-related toxicities such as breast and uterine cancer are mediated through ER<ce><b1>. <c2><a9> 2007 by The National Academy of Sciences of the USA.",10.1073/pnas.0703783104,no,NA,PH,1,NA,EAE,mouse,C57BL/6,female,8,Estriol,control,1,NA,0,0,4,0,3.8,4,0.1,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Failed,NA
422,"Tiwari-Woodruff, S. and Voskuhl, R. R.",2009,J Neurol Sci,Neuroprotective and anti-inflammatory effects of estrogen receptor ligand treatment in mice,"Demyelination and neurodegeneration is a major contributor in the progression of disability in multiple sclerosis (MS). Thus, the development of therapies that are neuroprotective has elicited considerable interests. Estrogens and estrogen receptor (ER) ligand treatments are promising treatments to prevent MS-induced neurodegeneration and a multicenter phase II clinical trial of estriol as a beneficial therapy in MS is underway. Here, we discuss studies performed in our laboratory that examined the effects of ER ligands in the inflammatory/demyelinating disorder experimental autoimmune encephalomyelitis (EAE), a model of MS. Administration of estriol or 17beta-estradiol reduced clinical severity and this clinical disease improvement was associated with favorable changes in cytokine production. There was a significant decrease of neuronal pathology in gray matter along with myelin and axon preservation in white matter of spinal cords of mice with EAE. In subsequent experiments, we contrasted the results of ERalpha versus ERbeta ligand treatment. While ERalpha ligand treatment was anti-inflammatory, ERbeta ligand treatment was not. ERbeta ligand treatment nevertheless reduced demyelination and preserved axon numbers in white matter and prevented neuronal abnormalities in gray matter. Clinically, ERalpha ligand treatment abrogated the disease at the onset, while ERbeta ligand treatment had no effect at disease onset, but promoted recovery. Thus, unlike ERalpha ligand treatment, ERbeta ligand treatment was protective at the level of the target organ, independent of anti-inflammatory effects in the peripheral immune system. ERbeta ligand treatment should be considered as a potential neuroprotective agent for MS and other neurodegenerative diseases, particularly since breast and uterine cancer are mediated through ERalpha.",10.1016/j.jns.2009.04.023,no,NA,PH,1,NA,EAE,mouse,C57BL/6,female,NA,Estriol,control,1,NA,NA,0,NA,NA,4,NA,NA,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Failed,NA
